,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEBXBHD,dot_pattern_expectancy.bias,DPEDPRIM,DPEHD,DPEHN,DPEHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,go_nogo.bias,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.5712701515999999,0.1621938155,1.5730745119,1.2,20.2608695652,0.23333333329999997,453,13.0,0.1333333333,325,0.14018585349999999,-0.9478212637,3.5831755014,0.4128545154,2.5737866818,-0.8991810028,0.029923370100000006,0.1478212891,0.0556884766,5.0,3.9642857143,5.466666666699999,3.0,3.25,3.4,1.5714285713999998,33,3.5552052504,0.2580467346,1.6426174667,0.1666666667,0.1666666667,11.75,-0.0666666667,0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,1.0833333333,1.3636363636000002,0.1387440396,0.4324047369,8.0,10.3,1.3626340942,0.5238585957999999,2.1685823133,-0.6671225919,0.19444444440000003,2.0,1.0,1.6666666666999999,1.6666666666999999,3.3333333332999997,4.6666666667,6.5,4.5,3.6666666667,1.8333333333,2.1666666667,1.0,2.6666666667000003,3.6666666667,5.666666666699999,-1.6156604112000001,0.4593529804,0.33223158610000003,4.6556717651,1.7832471408000001,0.1379104692,2.1889267071000003,16.6666666667,77.7777777778,70.3703703704,5.833333333300001,1.75,3.875,4.0,4.125,3.1428571429,4.0,49,-1.0705413209999999,3.8243251091,28,111.0,6,1.6875,1.4666666667,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,0.06403124240000001,0.158113883,0.0256124969,4,-0.5806546664000001,0.570050099,0.0400683236,2.0784452252000003,-0.4024386382,4.0666666667,,,,,,,38,,,0.5320132074,4,1.2130533725,0.6332942519,1.9334107569,-0.5128613639999999,,,,,122.0,0.2,0.2,0.6000000000000001,0.1,2.6801339361000003,0.49489211130000005,1.7929218874000001,-1.7590164270000002,,,2.3349500998,0.3892866602,1.4343357679,-0.8775044472,351.5,4.8,6.1,291.3333333333,2.6119744777,0.4242994293,1.3674026511000001,292.5,323.6666666667,2.0992621161000002,0.3716185801,1.48178766,31.1666666667,144.295201474,2.8568342119,0.34296629359999997,2.3223998001,-0.7909941789,6.0,4.0,6.0,5.0,6.5,38,-0.08522578230000001,-0.6736285488,0.6661035586999999,0.0993610674,2.4464336672,-0.2060751347,0.2975702542,2.8,4.6666666667,3.0,4.1333333332999995,1795.1016666667,8,8,3727.25,0.1648688222,0.0741079722,1.5,2.0909090909,3.0,3.2857142857,3.0833333332999997,0.8172749921,0.1922162034
s005,0.6630672304999999,0.28168869620000003,1.3885877780000002,1.65,36.3636363636,0.2666666667,750,30.5,0.33333333330000003,580,0.17363541829999998,-0.8398634648000001,4.274070484,0.32842459690000003,2.4757484774000003,-0.4151775948,0.000525995,0.0041643982,0.0276582031,3.5333333333,3.5,3.6333333333,3.0,3.25,3.8,2.2857142857,41,4.7208250912,0.2865621718,1.915177778,0.8333333333,0.1666666667,13.416666666700001,0.275,3,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3.0,-0.0250756442,-3.7905236907999997,1.0,1.7272727273,0.2518581217,1.2169609029000001,9.2,8.0,0.8457870737000001,0.5090630079999999,1.4707170288999998,-1.4243843442,0.1666666667,2.0,2.6666666667000003,1.0,2.0,3.5,5.5,6.166666666699999,6.0,6.166666666699999,4.0,1.6666666666999999,1.5,2.6666666667000003,1.5,4.6666666667,0.9562681803,1.2103337894,-0.3884511935,3.7790742791,2.6161558711,0.2803226387,1.2915862762,27.7777777778,0.0,40.740740740700005,4.8333333333,5.0,4.5,3.875,2.875,4.2857142857,4.625,46,-0.5306698657,2.9584098130000003,28,174.0,6,1.25,1.4,0.7475608826000001,0.0009119887,0.920829773,0.001067059,0.5555555556,0.0256124969,0.0256124969,0.06403124240000001,4,-0.7602665152,2.3358809507,0.4500174776,1.9791042021,-0.5701117907000001,5.0666666667,344.1666666667,2.8224900007,0.33968801120000003,1.2498091219,7.0,114.0,43,,,0.6320956121,14,1.8177465875,0.4914632817,1.9014971956,-0.5818197018,0.6666666667000001,0.75,,0.8333333333,131.0,0.0,0.7000000000000001,0.7000000000000001,0.4,3.6881692599,0.2887087148,4.9501136564,-0.7690707709000001,0.4711779449,0.044557573200000006,3.3539254968,0.2757725273,2.1127638172,-0.11194908460000001,302.5,6.5,5.1,432.6666666667,2.9083051710000003,0.30640716900000003,1.7372898232,249.6666666667,302.5,3.2659445207999998,0.3660754725,1.5028345281000002,52.8333333333,61.561054330299996,4.2183595754,0.2965980105,2.4416469704,-0.6603527174,6.0,5.0,7.0,3.0,6.0,33,-0.0842616565,0.1915865677,1.4092583541,0.34780014340000004,1.4308947549000002,-0.7137060233,-0.937028335,3.1,3.3333333332999997,2.2222222222,3.2666666667000004,1915.6111111111,19,7,2585.75,1.3930740481000001,0.1957445771,1.7000000000000002,1.3636363636000002,1.75,1.0,2.8333333332999997,0.8868519986000001,0.4059011843
s006,0.5476581779999999,0.0550406013,1.6500146547999999,1.4,43.3333333333,0.4,736,32.7083333333,0.2,750,-0.5860555491,-1.4429177719,2.445383636,0.33984741409999997,1.4728107623,-1.1494266789,7.0924e-06,6.784529999999999e-05,29.632732421900002,3.4666666667,5.3571428570999995,4.7333333333,3.25,4.0,4.0,3.0,34,1.430340274,0.2418319265,1.2891048037000001,0.1666666667,0.8333333333,19.5833333333,-0.0166666667,1,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,1.75,1.6363636363999998,-0.0113190347,-0.012737079299999999,8.5,8.5,1.2939932558,0.4130295407,1.5685024534999998,-0.8929610464000001,1.0,1.0,1.0,1.0,1.5,1.5,7.0,7.0,7.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,-2.0230354468000002,-1.7076059965000001,-0.6556403265,2.6602601534,1.6251250919,0.0113644085,2.0537921356999997,33.3333333333,0.0,0.0,4.3333333333,5.25,4.75,2.5,4.875,1.0,1.75,53,-0.7717910818000001,3.4406522452,28,139.0,0,1.8125,1.5333333333,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.25,0.25,0.25,5,-1.0159541794,1.391867589,0.3857685113,1.7095748516999998,-0.8765296786000001,3.8,,,,,,,44,,,0.40319981950000006,4,0.9067496359999999,0.5161502901,1.8906701386000002,-0.2652909298,,0.1666666667,0.6666666667000001,0.5833333333,111.5,0.6000000000000001,0.6000000000000001,,0.4,2.176863355,0.3998073364,1.7551769627,-0.3916834617,0.4894179894,0.021283661699999998,1.5479003891,0.27875876380000003,1.6160652690000001,-0.4447160779,341.5,5.3,4.9,,,,,335.1666666667,386.6666666667,1.3201339026999999,0.11869104470000001,1.9247527612,51.5,-25.1598562444,2.1426722719,0.29022881629999997,2.202267954,-0.7494648660000001,7.0,7.0,7.0,7.0,7.0,42,0.0455096972,-0.1704809143,1.0572685445999999,0.1749148904,1.9957483316999998,-0.1924142924,0.25468463210000003,4.1,4.1111111111000005,3.2222222222,4.1333333332999995,2209.1783333333,21,4,3224.1666666666997,0.4686309454,0.5232481438000001,1.8,2.1818181818,2.9166666667000003,2.7142857143,2.75,0.8338361601000001,0.4540214179
s007,,,,,19.0769230769,0.1333333333,470,14.8,0.1666666667,340,0.0116666293,-0.6702107948,1.9478889203999998,0.3590556327,1.8351283496,-0.2817672905,0.0005751163,0.0008470039,0.0081005859,4.8,3.7857142857,4.7333333333,3.25,2.75,3.6,3.4285714286,49,2.071746037,0.032201083900000003,2.4717705278,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,1.1666666667,1.6363636363999998,0.42950206399999996,0.5991357069000001,9.6,6.4,,,,,0.3611111111,2.6666666667000003,5.5,1.6666666666999999,3.3333333332999997,4.1666666667,4.3333333333,5.5,5.3333333333,5.5,2.1666666667,2.1666666667,5.1666666667,3.5,5.1666666667,6.166666666699999,-0.6664064314,-0.7579315750000001,-0.5694639092,2.4879073189,1.53209669,0.0097688673,2.3688536677000003,61.111111111099994,11.1111111111,33.3333333333,5.3333333333,5.25,3.25,2.875,3.0,3.5714285714000003,3.25,50,-0.7539398562999999,2.6397773564,22,98.0,9,1.375,1.5333333333,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.06403124240000001,0.06403124240000001,0.0256124969,2,-1.7153898098,0.8641445205,0.4255798364,1.5385093007,-0.0317324863,3.8,,,,,,,43,8.6329234757,-8.637205744700001,0.5112262406,10,1.0889337815,0.6266461154999999,2.3168364272999997,-0.5060997922,0.5,0.5833333333,0.5,0.9166666667,110.5,0.6000000000000001,0.4,0.6000000000000001,1.0,2.0157451513,0.5196181885,1.7631433859,-1.5276228643,0.3291457286,0.006016204000000001,3.041420483,0.3412821036,1.4972626134,-0.5634665938000001,517.0,5.1,5.4,395.8333333333,1.6831368844999999,0.5387616536000001,1.4711833178,357.1666666667,439.0,1.8894901934000001,0.3969825345,1.4477539100999999,81.8333333333,26.4811435343,1.8109622976,0.5133435006,1.9921471771,-0.48963033219999996,4.5,6.0,3.5,3.0,4.5,48,-0.08191306670000001,-0.0017136235,0.3021698987,0.0125838653,2.0262141482,-0.2741368863,-0.6517488877000001,4.0,3.2222222222,3.3333333332999997,3.4666666667,2282.5555555555998,-5,8,6112.166666666701,,,2.2,2.0909090909,3.1666666667000003,2.2142857143,3.0,0.8621573749,0.6821860019
s009,1.9915966024,0.22418910109999998,1.2338333989,2.7,28.2608695652,0.23333333329999997,615,19.1304347826,0.23333333329999997,420,0.0941407882,0.1667766072,3.2224950687000002,0.29143545719999997,1.7395971981,-0.6716770881,0.0005145003,0.0019907760999999997,0.0101464844,4.9333333333,4.8214285714,5.3,2.5,3.0,3.2,2.8571428571,29,3.1164330624,0.25953710950000003,1.1899758532,0.8333333333,0.0,13.708333333299999,0.4208333333,2,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,1.3333333333,1.0909090909,0.1593423691,1.1747285803,6.8,4.8,2.3089864224000003,0.4378006965,1.8561269344,0.3787189228,0.7222222222,3.5,2.5,2.1666666667,2.1666666667,3.8333333332999997,3.0,4.3333333333,3.5,3.0,2.0,2.3333333333,1.6666666666999999,3.5,2.3333333333,4.8333333333,-3.6713782383999995,-1.4954145812000001,-0.5814270014,3.3843972360000003,2.6987609531,0.1879368152,1.2220698796,66.6666666667,44.4444444444,62.962962963,5.1666666667,4.75,2.875,2.5,3.875,3.0,3.125,33,-0.7017421781000001,4.5619233948,17,222.0,9,1.1875,1.2666666667,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,0.0038729833,0.0004,0.009797959,2,-1.651698711,2.2457913338999997,0.3889209675,1.9141523943,0.1422124675,4.0,199.3333333333,2.5195609505000003,0.3408588032,1.6407381388999998,-8.5,73.0,32,-8.3796570593,14.654035753599999,0.6676807246,6,1.2450059033,0.4880291275,1.9752896776,-0.8469276122,0.0833333333,0.1666666667,0.5833333333,0.1666666667,71.0,0.7000000000000001,1.0,0.8,0.30000000000000004,3.4265347152,0.3500585042,1.7425079698,-1.5019633344,0.6073170732000001,0.14624492279999998,5.0329446156,0.2506646245,1.5324753029,-0.1616734606,268.0,6.8,6.4,225.1666666667,1.2709005818,0.3612157533,1.5025030423,186.5,206.5,3.2885530083999996,0.31544253899999997,2.6821047248000003,20.0,-35.1317225628,2.8386431617000003,0.3561020667,2.5702693727,-0.6838553682999999,3.5,4.0,3.5,2.0,5.0,67,-0.8257412538000001,-0.5887965686000001,1.9715431589,0.3189941309,1.6001149849,-0.0111460177,0.2342750732,3.0,3.7777777778,3.0,3.5333333333,1251.3159722222001,5,11,3222.6666666666997,-0.6258949536,0.47308529579999997,2.7,2.7272727273000004,3.0,3.0,2.3333333333,0.1779068063,0.45563800509999997
s011,1.4240068382,0.0978098481,1.4622629271,3.2,40.5555555556,0.4,690,18.3333333333,0.30000000000000004,365,-0.7122582715000001,-1.2742012565,3.5197511372,0.3552308507,1.867050605,-1.1694769843000001,0.044047225999999995,0.0051069641,0.00015283200000000002,2.7333333332999996,2.6785714286,3.8,1.25,2.25,2.6,2.5714285714000003,54,4.5752124610000005,0.258545739,1.3857403312999999,0.33333333330000003,0.33333333330000003,5.3333333333,0.05833333330000001,1,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3.0,-0.0025487365,-3.7931923672,1.0,1.0,0.1939300298,0.9515309845,7.9,9.8,2.0733206699,0.32429878370000004,2.323286103,-0.9958567841,0.0,3.8333333332999997,5.5,2.0,2.3333333333,5.0,4.1666666667,5.833333333300001,4.5,6.166666666699999,1.5,2.0,1.0,3.0,1.0,7.0,-4.4769155956,-3.0021748503,-0.7548590440999999,3.8104168489999997,3.4621707089999996,0.21911875079999998,1.5202133763999999,44.4444444444,55.5555555556,40.740740740700005,6.0,2.0,5.0,4.875,4.25,3.1428571429,2.875,57,-0.7625664513,3.9332268227,40,265.0,4,1.0,1.0666666667,0.7708899498,0.0016033788,0.8675750731999999,0.0018161934,0.5833333333,0.25,0.25,0.25,2,-0.9945698512,2.6609177541,0.3586355597,2.5120231081,-0.5353396467,5.8,259.5,3.7657680814999996,0.30432170199999997,1.6727303678,-8.0,84.0,48,1.0782063195,6.9911453835,0.23254980949999998,12,1.6556607159999999,0.3783466802,2.4086699718999998,-0.707936247,0.75,0.9166666667,0.8333333333,0.9166666667,142.0,0.5,0.5,0.7000000000000001,0.1,3.3546203470999996,0.4238843588,1.569601609,-2.4907348695,0.539408867,0.09170397109999999,3.5569020222,0.3210798569,1.1839138589,-1.7510987158000002,316.0,5.7,6.3,193.3333333333,3.6722208023,0.35209210890000003,2.1242119303,240.0,247.6666666667,3.8425186047000004,0.31907907100000005,1.9467390234,7.666666666699999,96.79178747379999,2.9509526676999998,0.34750727740000004,1.7773899463,-1.8671287033,7.0,4.5,4.5,7.0,6.0,24,0.0114280122,0.0142259181,2.7439172610000004,0.34780088670000003,1.2977915477,-0.5843106090000001,-0.3654077601,1.9,2.4444444444,1.4444444444,2.8666666667,1371.7153679654,11,8,2094.9166666667,0.4356487044,-0.8002918179999999,1.7000000000000002,2.0909090909,2.0,2.0714285714,2.1666666667,0.1925341667,0.24043603789999998
s012,2.1512452193000002,0.3177004149,1.480294715,3.25,44.1578947368,0.3666666667,796,24.565217391300003,0.23333333329999997,527,-0.7274706573999999,-0.9224729599,3.1867975758999996,0.2972843415,2.2645322765,-1.5502732772999999,0.0011767575,0.010140686,0.0590556641,4.4,3.3214285714000003,4.4,2.75,1.75,3.4,2.5714285714000003,44,3.1016575634,0.26209825010000004,1.4815932678,0.8333333333,0.1666666667,5.666666666699999,0.05833333330000001,2,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3.0,-0.0115213033,-1.9323308271000001,1.0,1.4545454544999998,-0.3553490939,0.7137797811000001,8.4,8.6,2.0218222936,0.496738494,1.9002256624,-0.34978597990000004,0.1666666667,3.3333333332999997,4.0,1.5,2.1666666667,4.6666666667,4.0,4.8333333333,5.1666666667,5.0,3.3333333332999997,3.6666666667,2.0,2.6666666667000003,1.8333333333,4.8333333333,0.06058479200000001,0.327222479,0.0,5.320134937200001,3.7154890121,0.07359046600000001,5.6336655339999995,27.7777777778,33.3333333333,66.6666666667,2.0,5.25,4.0,3.125,4.125,3.0,1.25,32,-1.0820225484000001,2.8201893119,21,190.0,8,1.0625,1.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,0.25,0.06403124240000001,0.06403124240000001,2,-0.5531499565,1.4581477389,0.36361136689999995,1.9235393316999998,-0.4299344129,3.4,347.1666666667,2.4210716979,0.2866223914,1.4872434068,-7.5,81.0,43,27.3376402867,-25.2123453648,0.6264483411999999,15,1.5337002857000002,0.5096314379,1.5459120338999999,-0.1972093573,0.5833333333,0.33333333330000003,1.0,0.8333333333,114.0,0.5,0.7000000000000001,0.6000000000000001,0.2,2.9236855875,0.3955379368,2.3459513255,-1.4659989103,0.46172839509999997,0.0590870111,2.4004841813,0.2856009653,1.5303040397,-0.643773024,338.0,5.9,6.0,303.0,3.2102440923000004,0.3160617995,1.3808268262,275.6666666667,295.6666666667,2.1816338992,0.31618804110000004,1.4157381604,20.0,20.8802469136,2.3033176,0.368049857,2.2956569071,-0.9462566459999999,3.5,5.5,4.0,2.5,3.0,32,0.45623656939999996,0.19696627149999998,1.9706909847999998,0.3138143188,1.612303092,-0.7609683460000001,0.0903929694,2.6,2.5555555556,1.5555555556,1.9333333333000002,2230.165,3,8,4731.5,0.7098490302,-0.1823215568,1.9,1.4545454544999998,2.3333333333,2.0,1.3333333333,0.2365442544,0.18606252350000002
s017,1.0597460578,0.0272991163,1.702803408,2.0,37.5,0.2666666667,789,21.3333333333,0.1,550,-1.0047617529000001,-0.371521885,3.5451032302999996,0.3297510581,2.0741798743,-1.6970441213,0.0001124585,0.00019663,0.0006987305,5.8,3.7142857143,3.6,3.0,2.25,3.8,3.5714285714000003,49,5.6092695629,0.2400979713,2.324270717,0.6666666667000001,0.1666666667,9.7083333333,0.1041666667,3,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3.0,-0.0077980085,-1.8536882747,1.0,1.2727272726999999,0.1836432283,1.3700064956,9.3,7.6,2.3409059888,0.4438475922,1.9929958924,-0.5638885573,0.8333333333,3.3333333332999997,3.0,2.0,3.0,2.5,2.8333333332999997,5.5,3.5,3.6666666667,2.1666666667,2.1666666667,2.1666666667,2.1666666667,3.0,3.8333333332999997,-0.2317933736,0.0224372739,-0.7548590440999999,3.8104168489999997,1.8175994953999999,0.1267913075,2.3725924197,44.4444444444,66.6666666667,48.148148148100006,4.5,5.5,2.375,2.75,3.75,3.2857142857,2.75,46,-0.7625664513,3.9332268227,22,246.0,3,1.1875,1.4666666667,0.767848587,0.0024491452000000003,0.98984375,0.0027049544,0.5833333333,0.0002011893,0.0002011893,0.0002011893,5,-0.8771694073999999,1.6809474825,0.4366256615,1.9013444791999998,-0.34019802320000003,3.5333333333,282.6666666667,2.9972767212,0.21403931489999997,2.2584767222999997,-14.5,160.0,43,,,0.58484855,10,2.0378086715,0.5234728045,2.00398015,-0.585441607,0.6666666667000001,0.6666666667000001,0.9166666667,0.8333333333,130.0,0.1,0.8,0.4,0.7000000000000001,2.7825534188,0.4233959006,1.6576074747,-2.002802842,0.4513715711,0.0676643665,3.3705523638,0.291538936,1.6926872452,-0.38846019810000004,310.0,6.5,5.6,251.0,3.7704019439999996,0.2962578873,2.7193575467,246.8333333333,295.0,3.0377723943,0.332018576,1.6571574241,48.1666666667,98.0324196876,2.4533195935,0.4145161235,1.8243467323,-1.754051189,7.0,7.0,4.5,2.0,4.5,53,-0.0805825178,0.5861670546000001,2.0679751767,0.3404233527,1.7919270562,-0.5504259919,-0.476815664,3.5,4.3333333333,2.3333333333,2.4666666666999997,1481.6893939394001,1,10,3958.5,3.1094480307,-0.3522205936,2.1,1.0,1.6666666666999999,1.3571428571000002,3.0,0.185612246,0.17430210710000002
s020,0.8329257969,0.1059353411,1.4753170296,1.85,26.6666666667,0.2,610,12.962962962999999,0.1,340,0.0785396136,-1.0357060622,2.4114682047,0.31067326510000004,1.7773522756,0.0453436348,0.0002343203,0.009369873,0.0126279297,3.4666666667,3.7857142857,4.3333333333,3.5,3.25,3.6,2.4285714286,41,1.885917049,0.25859620839999997,1.6548223577,0.6666666667000001,0.33333333330000003,9.8333333333,0.4,1,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0.0,-0.0009140546,-0.8612740142,1.0833333333,1.5454545455000002,-0.0335462443,0.6750894226,7.5,5.2,1.3458484388,0.454853686,2.2160017077000003,-0.3968333645,0.0,2.0,2.1666666667,1.8333333333,1.8333333333,3.8333333332999997,3.8333333332999997,3.8333333332999997,5.3333333333,4.3333333333,2.6666666667000003,2.3333333333,2.5,2.0,2.3333333333,3.5,-1.9358140574,0.8531933060000001,-0.1448413667,3.3579238220999996,2.1952317751,0.2006145327,1.6184324147,38.8888888889,44.4444444444,55.5555555556,5.0,3.75,3.625,3.5,3.25,3.0,2.875,46,-0.6807759697,4.096807786,30,122.0,7,1.5,1.2,0.6603252411,0.0017003689000000002,0.7410667895999999,0.0015159826,0.4722222222,0.0256124969,0.06403124240000001,0.06403124240000001,1,-1.3712673831,1.5150429285,0.4215354238,1.7685734382,0.0225326523,3.9333333333,286.1666666667,2.4724696172,0.3272544446,1.8447288832,-33.0,36.5,43,3.7318341441000005,-3.4417341323,0.6229103774,8,1.0264797416,0.4119567988,1.8970007368000001,-0.3440701599,0.5833333333,0.8333333333,0.5833333333,0.5833333333,100.5,0.4,0.8,0.5,0.2,2.6203600886,0.4111193156,1.4098292078999999,-1.4595534380000001,0.4334975369,0.0501444983,2.4306755324,0.3234963985,2.1420544773,0.2041495553,381.5,6.3,5.7,253.3333333333,1.8198637712,0.40162196829999997,1.3032921921,245.0,364.3333333333,2.1001512452,0.3298276772,1.5380759919999998,119.3333333333,12.8482783357,1.8260387571,0.28838839780000003,1.7843225732,-0.9449049843,5.5,6.0,6.5,5.5,4.5,46,-0.0535607098,-0.05912809080000001,1.0598445363,0.21846256500000005,1.9730270896000002,-0.3064581535,0.0424120532,2.3,3.7777777778,2.7777777778,3.4666666667,2750.9476190476003,12,6,3479.3333333333003,-0.594460772,0.4519851237,1.9,1.9090909091,2.1666666667,2.5,2.3333333333,0.1805794197,0.3909019375
s026,1.1545119704,0.2348057706,1.0826855584000001,2.0,11.375,0.2,263,21.2083333333,0.2,489,-0.043967711900000005,-0.347504441,3.9719526418,0.3261299844,2.1089545265000003,-0.5648322136,0.0001688719,0.0010027083999999999,0.0231308594,3.1333333333,3.0714285714,4.4666666667,2.75,2.0,3.6,2.7142857143,51,5.868739633300001,0.29188355720000003,1.3798299371,0.6666666667000001,0.1666666667,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.00025937830000000004,-0.07395498390000001,1.0,1.0909090909,-0.2888881723,0.9523625263,9.8,7.1,2.0626972972999997,0.4063809094,2.0025071701,-0.26801439590000004,0.8888888889000001,2.6666666667000003,4.0,1.5,2.0,2.5,4.6666666667,4.0,4.0,4.5,2.5,1.8333333333,1.5,1.8333333333,1.1666666667,4.0,-0.5049729073,-0.4492284143,0.1910395678,4.9380558016,4.8915044495,0.4082787135,3.8780327889999997,33.3333333333,33.3333333333,22.2222222222,5.0,6.0,4.0,3.75,4.875,2.8571428571,2.5,36,-0.6433888409,3.1838477633999998,29,206.0,8,1.0,1.0,0.5657946467,0.0019503945999999998,1.0,0.0027379267999999997,0.44444444439999997,0.0006324555,0.0006324555,0.0015811388,6,-0.9478364333,2.0704153130000003,0.37378500020000005,1.6023029891999998,-0.06896531830000001,4.7333333333,,,,,,,46,1.9133373883000002,-1.6080014509,0.57614781,13,1.2841653687999999,0.4823355088,1.7038649713,-0.1963540083,0.6666666667000001,0.9166666667,0.8333333333,0.8333333333,142.0,0.2,0.2,0.2,0.0,2.4828006899,0.4274370103,2.0310728934999998,-1.7396539844,0.47911547909999996,0.042180781900000006,4.147494115,0.2808010601,1.3085842322,-1.162466217,272.5,6.1,4.5,324.1666666667,3.5674499935000004,0.3222487901,1.0837656673,191.1666666667,237.6666666667,3.2883823063,0.337141807,1.4506614652,46.5,27.385520763899997,2.8589710812,0.3205430575,1.7929377597999998,-0.5723567780000001,5.5,6.0,7.0,4.0,4.0,49,-0.0998080626,-0.4474768801,1.4821805622,0.33101467970000004,1.6520461525,-0.7683992597,-0.5126992236,2.1,3.8888888889,1.7777777778,2.6,1949.3041666667002,15,7,2732.1666666667,1.0122824975,-0.0487901642,1.9,1.5454545455000002,1.75,1.3571428571000002,1.5,0.1857878768,0.1482208463
