worker	dickman_survey_2	dickman_survey_3	dickman_survey_4	dickman_survey_5	dickman_survey_6	dickman_survey_7	dickman_survey_8	dickman_survey_9	dickman_survey_10	dickman_survey_11	dickman_survey_12	dickman_survey_13	dickman_survey_14	dickman_survey_15	dickman_survey_16	dickman_survey_17	dickman_survey_18	dickman_survey_19	dickman_survey_20	dickman_survey_21	dickman_survey_22	dickman_survey_23	dickman_survey_24
s002	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s005	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s006	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
s007	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0
s009	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
s011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s012	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s017	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s026	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s027	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s028	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s029	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0
s032	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s034	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s047	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s049	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s056	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s060	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s062	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0
s063	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
s065	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
s066	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
s071	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0
s077	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s082	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s083	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s084	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s085	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s086	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0
s089	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s091	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s092	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s093	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s094	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
s096	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s097	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s098	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
s099	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s102	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0
s103	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0
s105	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0
s106	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s107	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s108	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s109	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0
s110	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
s112	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s114	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s123	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s128	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
s129	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0
s131	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s135	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0
s140	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s142	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s145	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s149	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s155	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0
s156	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s161	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s163	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s165	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s168	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0
s170	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0
s173	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0
s179	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s180	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s182	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
s184	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0
s186	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s187	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0
s188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s190	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s192	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s196	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
s198	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
s202	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0
s205	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s206	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s207	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s208	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
s209	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s210	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0
s212	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s216	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
s218	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s226	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
s228	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s233	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0
s237	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s238	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s244	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
s246	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0
