worker	dospert_eb_survey_2	dospert_eb_survey_3	dospert_eb_survey_4	dospert_eb_survey_5	dospert_eb_survey_6	dospert_eb_survey_7	dospert_eb_survey_8	dospert_eb_survey_9	dospert_eb_survey_10	dospert_eb_survey_11	dospert_eb_survey_12	dospert_eb_survey_13	dospert_eb_survey_14	dospert_eb_survey_15	dospert_eb_survey_16	dospert_eb_survey_17	dospert_eb_survey_18	dospert_eb_survey_19	dospert_eb_survey_20	dospert_eb_survey_21	dospert_eb_survey_22	dospert_eb_survey_23	dospert_eb_survey_24	dospert_eb_survey_25	dospert_eb_survey_26	dospert_eb_survey_27	dospert_eb_survey_28	dospert_eb_survey_29	dospert_eb_survey_30	dospert_eb_survey_31
s249	6.0	5.0	5.0	7.0	2.0	2.0	2.0	3.0	3.0	5.0	2.0	7.0	3.0	1.0	1.0	4.0	1.0	6.0	5.0	1.0	5.0	6.0	1.0	1.0	3.0	2.0	3.0	6.0	3.0	2.0
s252	3.0	6.0	2.0	4.0	2.0	2.0	3.0	2.0	3.0	4.0	2.0	3.0	2.0	2.0	4.0	1.0	1.0	4.0	3.0	1.0	6.0	5.0	3.0	2.0	4.0	2.0	5.0	6.0	2.0	4.0
s254	4.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	2.0	6.0	1.0	1.0
s259	4.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	6.0	4.0	2.0	4.0	5.0	2.0	4.0	4.0	2.0	3.0
s262	2.0	4.0	2.0	4.0	2.0	1.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	1.0	2.0	2.0	4.0	3.0	2.0	4.0	2.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0
s264	4.0	5.0	5.0	5.0	2.0	2.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	2.0	1.0	2.0	3.0	4.0	2.0	5.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	2.0	3.0
s265	1.0	5.0	6.0	4.0	3.0	3.0	3.0	5.0	4.0	3.0	2.0	3.0	2.0	4.0	4.0	1.0	1.0	4.0	3.0	1.0	6.0	4.0	3.0	3.0	3.0	2.0	4.0	5.0	1.0	2.0
s269	5.0	5.0	1.0	2.0	1.0	2.0	3.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	4.0	3.0	2.0	4.0	5.0	1.0	3.0	4.0	1.0	6.0
s273	3.0	6.0	2.0	4.0	1.0	2.0	2.0	1.0	4.0	3.0	1.0	2.0	2.0	1.0	5.0	2.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	6.0	4.0	2.0	3.0
s275	5.0	4.0	4.0	6.0	1.0	1.0	1.0	4.0	5.0	5.0	1.0	4.0	1.0	5.0	7.0	1.0	1.0	5.0	1.0	5.0	7.0	1.0	1.0	1.0	1.0	2.0	4.0	6.0	1.0	7.0
s277	5.0	7.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	5.0	4.0	5.0	5.0	1.0	4.0	5.0	5.0	3.0	5.0	5.0	7.0
s284	5.0	4.0	3.0	7.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	2.0	5.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	5.0
s285	1.0	1.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	2.0
s286	3.0	2.0	1.0	3.0	1.0	2.0	3.0	1.0	1.0	5.0	1.0	3.0	4.0	2.0	1.0	1.0	1.0	5.0	6.0	1.0	5.0	6.0	1.0	2.0	5.0	2.0	4.0	5.0	1.0	5.0
s290	2.0	3.0	4.0	4.0	1.0	3.0	2.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	1.0	1.0	4.0	3.0	1.0	6.0	4.0	1.0	1.0	3.0	5.0	4.0	3.0	1.0	4.0
s291	5.0	2.0	1.0	6.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	7.0	5.0	1.0	4.0	1.0	1.0	3.0	5.0	1.0	3.0	5.0	1.0	4.0
s293	4.0	3.0	2.0	4.0	1.0	3.0	5.0	2.0	1.0	3.0	3.0	2.0	3.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	3.0
s294	1.0	3.0	2.0	4.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	4.0	1.0	4.0	2.0	1.0	2.0	3.0	1.0	2.0	3.0	1.0	2.0
s295	4.0	7.0	3.0	5.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	4.0	4.0	2.0	3.0	1.0	1.0	4.0	4.0	1.0	6.0	7.0	1.0	2.0	4.0	1.0	4.0	4.0	1.0	3.0
s297	4.0	6.0	1.0	7.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	7.0	1.0	1.0	2.0	2.0	1.0	6.0	2.0	1.0	1.0	1.0	1.0	5.0	7.0	1.0	1.0
s301	5.0	6.0	2.0	5.0	1.0	2.0	4.0	3.0	1.0	1.0	2.0	1.0	4.0	2.0	1.0	2.0	1.0	3.0	4.0	1.0	6.0	4.0	1.0	2.0	6.0	2.0	4.0	3.0	1.0	1.0
s303	3.0	3.0	4.0	4.0	4.0	5.0	4.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	1.0	2.0	4.0	4.0	2.0	5.0
s305	4.0	2.0	2.0	4.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	3.0	1.0	2.0	4.0	1.0	1.0	3.0	1.0	1.0	5.0	2.0	1.0	1.0	3.0	1.0	4.0	4.0	1.0	3.0
s307	1.0	2.0	1.0	4.0	1.0	4.0	1.0	1.0	4.0	4.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	1.0	1.0	7.0	1.0	4.0	7.0	1.0	4.0
s309	4.0	7.0	2.0	7.0	2.0	4.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	4.0	6.0	1.0	7.0	3.0	1.0	5.0	7.0	1.0	6.0	7.0	1.0	7.0
s313	1.0	1.0	4.0	4.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0
s314	3.0	4.0	2.0	5.0	2.0	1.0	3.0	3.0	3.0	1.0	1.0	2.0	4.0	3.0	4.0	2.0	5.0	4.0	5.0	3.0	4.0	3.0	5.0	2.0	3.0	3.0	6.0	4.0	2.0	7.0
s316	1.0	4.0	2.0	3.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	6.0	2.0	2.0	1.0	1.0	1.0	5.0	5.0	2.0	2.0
s326	3.0	5.0	2.0	4.0	1.0	4.0	5.0	1.0	2.0	4.0	2.0	4.0	4.0	1.0	4.0	1.0	1.0	4.0	2.0	1.0	6.0	4.0	2.0	1.0	3.0	2.0	4.0	5.0	1.0	5.0
s327	3.0	7.0	6.0	5.0	1.0	4.0	1.0	5.0	1.0	2.0	4.0	7.0	3.0	4.0	1.0	1.0	1.0	4.0	4.0	1.0	7.0	7.0	1.0	4.0	6.0	3.0	6.0	7.0	1.0	4.0
s328	6.0	4.0	5.0	5.0	2.0	4.0	1.0	5.0	2.0	4.0	1.0	4.0	3.0	5.0	1.0	1.0	1.0	4.0	2.0	1.0	4.0	6.0	2.0	2.0	5.0	1.0	4.0	3.0	1.0	4.0
s329	4.0	4.0	2.0	3.0	2.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	4.0	1.0	1.0	4.0	1.0	5.0	6.0	1.0	7.0
s332	4.0	6.0	5.0	4.0	1.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	2.0	5.0	4.0	7.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0
s333	4.0	4.0	3.0	6.0	1.0	5.0	2.0	4.0	4.0	1.0	1.0	4.0	2.0	4.0	4.0	1.0	1.0	4.0	2.0	1.0	6.0	3.0	1.0	2.0	3.0	2.0	4.0	5.0	2.0	4.0
s334	4.0	6.0	2.0	4.0	1.0	4.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	7.0	1.0	1.0	4.0	4.0	1.0	4.0	4.0	3.0	2.0	2.0	1.0	2.0	4.0	1.0	2.0
s336	2.0	3.0	4.0	6.0	3.0	1.0	2.0	4.0	2.0	4.0	3.0	4.0	2.0	3.0	5.0	2.0	1.0	4.0	2.0	1.0	6.0	3.0	1.0	1.0	5.0	1.0	3.0	5.0	2.0	4.0
s339	6.0	6.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	5.0	4.0	1.0	1.0	3.0	1.0	4.0	4.0	1.0	2.0
s343	2.0	3.0	3.0	5.0	2.0	4.0	3.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	2.0	1.0	1.0	4.0	3.0	1.0	7.0	4.0	1.0	2.0	2.0	1.0	4.0	6.0	2.0	4.0
s346	5.0	2.0	2.0	5.0	1.0	4.0	4.0	2.0	1.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	5.0	3.0	1.0	4.0	4.0	1.0	2.0	3.0	2.0	4.0	5.0	1.0	2.0
s351	4.0	4.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
s352	7.0	7.0	4.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	2.0	3.0	1.0	2.0	4.0	2.0	2.0	6.0	4.0	3.0	2.0	1.0	1.0	5.0	6.0	2.0	1.0
s357	5.0	7.0	1.0	7.0	1.0	3.0	5.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	2.0	1.0	3.0	1.0	4.0	6.0	5.0	1.0	1.0	6.0	1.0	6.0	6.0	1.0	7.0
s359	3.0	3.0	2.0	5.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	4.0	3.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0
s365	2.0	4.0	6.0	4.0	2.0	4.0	2.0	6.0	2.0	4.0	2.0	5.0	4.0	6.0	3.0	1.0	1.0	5.0	4.0	1.0	5.0	3.0	2.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0
s368	3.0	1.0	4.0	7.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	5.0	4.0	1.0	5.0	4.0	1.0	1.0	5.0	1.0	4.0	4.0	1.0	1.0
s369	3.0	4.0	3.0	5.0	2.0	2.0	1.0	4.0	3.0	1.0	1.0	3.0	3.0	5.0	1.0	1.0	1.0	6.0	2.0	1.0	7.0	3.0	2.0	2.0	2.0	1.0	5.0	6.0	1.0	3.0
s372	7.0	4.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	4.0	4.0	1.0	7.0	1.0	1.0	4.0	4.0	1.0	4.0	4.0	1.0	1.0
s373	3.0	5.0	3.0	5.0	1.0	2.0	5.0	3.0	4.0	2.0	1.0	4.0	5.0	2.0	5.0	2.0	1.0	4.0	5.0	2.0	7.0	4.0	2.0	4.0	4.0	2.0	3.0	4.0	1.0	7.0
s376	3.0	4.0	3.0	6.0	2.0	4.0	3.0	3.0	5.0	3.0	2.0	4.0	2.0	2.0	4.0	3.0	2.0	4.0	2.0	2.0	4.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	5.0
s380	1.0	7.0	2.0	5.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	5.0	2.0	2.0	1.0	1.0	5.0	4.0	1.0	7.0	4.0	1.0	2.0	5.0	1.0	6.0	7.0	1.0	1.0
s383	3.0	7.0	2.0	3.0	2.0	4.0	4.0	3.0	2.0	3.0	1.0	3.0	6.0	3.0	3.0	1.0	2.0	4.0	3.0	4.0	5.0	4.0	2.0	1.0	3.0	2.0	6.0	6.0	3.0	5.0
s388	3.0	4.0	3.0	5.0	2.0	1.0	3.0	3.0	1.0	1.0	1.0	2.0	4.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	6.0	4.0	1.0	3.0	4.0	2.0	4.0	5.0	4.0	2.0
s391	3.0	4.0	4.0	7.0	1.0	6.0	7.0	4.0	4.0	4.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	7.0	4.0	1.0	7.0	3.0	1.0	4.0	4.0	2.0	5.0	4.0	2.0	7.0
s396	2.0	5.0	5.0	4.0	1.0	6.0	2.0	6.0	5.0	5.0	2.0	6.0	2.0	5.0	6.0	2.0	1.0	5.0	3.0	1.0	7.0	3.0	1.0	4.0	6.0	1.0	7.0	6.0	1.0	4.0
s397	3.0	5.0	3.0	6.0	1.0	4.0	4.0	3.0	2.0	3.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	3.0	2.0	2.0	3.0	1.0	3.0	4.0	1.0	4.0
s402	2.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	6.0	2.0	1.0	3.0	4.0	1.0	2.0	3.0	1.0	4.0
s403	3.0	1.0	4.0	5.0	1.0	4.0	4.0	4.0	2.0	3.0	1.0	5.0	1.0	2.0	3.0	1.0	1.0	6.0	2.0	2.0	6.0	6.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	7.0
s408	1.0	5.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	6.0	1.0	1.0	4.0	5.0	1.0	5.0	6.0	1.0	4.0
s409	4.0	2.0	2.0	4.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	3.0
s411	3.0	5.0	2.0	5.0	3.0	2.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	5.0	1.0	5.0	4.0	1.0	4.0	6.0	1.0	3.0	3.0	1.0	1.0
s420	2.0	7.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	7.0	1.0	3.0	2.0	1.0	1.0	6.0	1.0	4.0	4.0	1.0	1.0
s425	3.0	5.0	3.0	4.0	3.0	5.0	2.0	3.0	4.0	2.0	1.0	3.0	2.0	4.0	3.0	2.0	1.0	3.0	3.0	1.0	5.0	4.0	1.0	2.0	2.0	2.0	3.0	5.0	1.0	4.0
s427	4.0	6.0	3.0	6.0	3.0	4.0	3.0	2.0	2.0	4.0	2.0	3.0	5.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	2.0	4.0	4.0	2.0	4.0
s429	3.0	6.0	5.0	3.0	1.0	3.0	3.0	7.0	2.0	2.0	3.0	4.0	3.0	7.0	2.0	1.0	2.0	4.0	7.0	2.0	5.0	3.0	2.0	3.0	6.0	1.0	4.0	3.0	3.0	3.0
s430	3.0	5.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	3.0	1.0	1.0	1.0	2.0	2.0	6.0	1.0	1.0
s434	6.0	5.0	2.0	6.0	1.0	4.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	2.0	5.0	2.0	1.0	4.0	5.0	2.0	6.0	3.0	4.0	2.0	4.0	1.0	3.0	6.0	3.0	4.0
s441	1.0	6.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	6.0	2.0	1.0	1.0	4.0	1.0	7.0	6.0	1.0	5.0
s446	3.0	4.0	2.0	4.0	2.0	4.0	3.0	2.0	4.0	5.0	1.0	2.0	2.0	2.0	6.0	2.0	1.0	4.0	5.0	4.0	5.0	2.0	3.0	4.0	2.0	1.0	5.0	4.0	5.0	3.0
s449	4.0	6.0	2.0	5.0	3.0	2.0	3.0	1.0	1.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	5.0	2.0	1.0	7.0	4.0	3.0	2.0	2.0	3.0	5.0	5.0	2.0	5.0
s450	5.0	5.0	2.0	6.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	6.0	2.0	1.0	2.0	2.0	1.0	5.0	3.0	1.0	2.0
s451	3.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	7.0	5.0	1.0	1.0	1.0	2.0	7.0	7.0	1.0	2.0
s453	1.0	7.0	4.0	4.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	1.0	3.0	1.0	6.0	5.0	4.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	1.0
s456	2.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	1.0	1.0	1.0	5.0	4.0	4.0	5.0	3.0	1.0	3.0	5.0	1.0	2.0	3.0	1.0	4.0
s459	3.0	4.0	4.0	5.0	4.0	2.0	3.0	5.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	2.0	1.0	6.0	2.0	1.0	6.0	4.0	1.0	2.0	5.0	2.0	4.0	6.0	2.0	4.0
s461	5.0	7.0	2.0	7.0	3.0	1.0	4.0	1.0	1.0	1.0	3.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	7.0	4.0	7.0	6.0	1.0	7.0	7.0	1.0	7.0	6.0	1.0	1.0
s462	4.0	6.0	3.0	4.0	4.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	4.0	1.0	5.0	2.0	2.0	4.0	7.0	2.0	7.0	4.0	2.0	4.0	7.0	3.0	5.0	6.0	1.0	3.0
s467	4.0	7.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	5.0	2.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0
s468	4.0	5.0	1.0	6.0	1.0	3.0	6.0	1.0	2.0	2.0	2.0	4.0	4.0	1.0	2.0	2.0	1.0	4.0	4.0	1.0	7.0	6.0	1.0	1.0	4.0	2.0	4.0	4.0	4.0	7.0
s469	5.0	7.0	1.0	4.0	2.0	3.0	4.0	1.0	1.0	1.0	2.0	3.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	2.0	6.0	3.0	1.0	2.0	2.0	1.0	3.0	5.0	4.0	7.0
s471	2.0	3.0	4.0	5.0	1.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	2.0	4.0	2.0	2.0	1.0	4.0	2.0	1.0	5.0	3.0	1.0	2.0	4.0	2.0	5.0	5.0	3.0	3.0
s473	4.0	5.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	3.0	3.0	1.0	5.0	2.0	3.0	1.0
s475	5.0	4.0	5.0	6.0	3.0	3.0	2.0	5.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	5.0
s477	1.0	2.0	1.0	3.0	1.0	4.0	4.0	2.0	2.0	4.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	7.0	4.0	1.0	1.0	4.0	1.0	7.0	1.0	1.0	4.0
s481	3.0	4.0	6.0	5.0	2.0	5.0	2.0	6.0	3.0	4.0	3.0	4.0	4.0	6.0	2.0	2.0	1.0	5.0	3.0	1.0	6.0	3.0	1.0	2.0	4.0	2.0	6.0	5.0	2.0	6.0
s483	1.0	2.0	4.0	4.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	4.0
s484	3.0	3.0	2.0	4.0	1.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0
s488	4.0	6.0	2.0	5.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
s489	1.0	3.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	6.0	1.0	1.0	2.0	3.0	1.0	7.0	7.0	1.0	5.0
s490	5.0	6.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	2.0	2.0	1.0	1.0	3.0	4.0	2.0	5.0	2.0	1.0	4.0	5.0	2.0	5.0	6.0	2.0	4.0
s491	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0
s492	5.0	5.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	7.0
s500	4.0	5.0	2.0	7.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	6.0	4.0	2.0	2.0	1.0	1.0	3.0	4.0	1.0	5.0	3.0	1.0	2.0	2.0	1.0	3.0	5.0	1.0	2.0
s501	3.0	4.0	3.0	3.0	1.0	3.0	5.0	3.0	1.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	6.0	5.0	2.0	1.0	3.0	2.0	5.0	6.0	1.0	5.0
s502	7.0	3.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	4.0	2.0	2.0	4.0	1.0	4.0	4.0	1.0	3.0
s503	4.0	5.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	6.0	4.0	1.0	2.0	2.0	1.0	3.0	4.0	1.0	2.0
s504	3.0	3.0	1.0	6.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	5.0	3.0	1.0	1.0	2.0	1.0	4.0	5.0	1.0	1.0
s505	1.0	3.0	3.0	3.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	4.0
s506	4.0	5.0	1.0	7.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	1.0	1.0	6.0	1.0	1.0	4.0	3.0	1.0	7.0	4.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	7.0
s507	2.0	2.0	1.0	5.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0	4.0	1.0	2.0	2.0	1.0	3.0	4.0	1.0	7.0	4.0	1.0	3.0	3.0	1.0	3.0	4.0	2.0	4.0
s508	6.0	6.0	1.0	7.0	1.0	7.0	4.0	1.0	4.0	4.0	6.0	5.0	4.0	1.0	4.0	1.0	1.0	5.0	7.0	1.0	5.0	5.0	1.0	5.0	7.0	1.0	6.0	6.0	1.0	7.0
s509	7.0	4.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	1.0	2.0	5.0	1.0	1.0
s510	6.0	7.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	1.0	1.0	7.0	1.0	5.0	4.0	1.0	4.0	7.0	1.0	5.0	6.0	1.0	4.0
s511	7.0	4.0	1.0	5.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	1.0	4.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0
