worker	theories_of_willpower_survey_2	theories_of_willpower_survey_3	theories_of_willpower_survey_4	theories_of_willpower_survey_5	theories_of_willpower_survey_6	theories_of_willpower_survey_7	theories_of_willpower_survey_8	theories_of_willpower_survey_9	theories_of_willpower_survey_10	theories_of_willpower_survey_11	theories_of_willpower_survey_12	theories_of_willpower_survey_13
s002	4.0	5.0	4.0	2.0	5.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0
s005	3.0	5.0	3.0	3.0	3.0	4.0	2.0	4.0	2.0	1.0	2.0	1.0
s006	3.0	6.0	1.0	4.0	5.0	2.0	4.0	4.0	3.0	4.0	3.0	3.0
s007	5.0	6.0	2.0	5.0	5.0	4.0	2.0	4.0	5.0	5.0	2.0	3.0
s009	6.0	6.0	6.0	5.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0
s011	1.0	4.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	1.0	3.0	3.0
s012	4.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0
s017	6.0	6.0	6.0	4.0	5.0	5.0	6.0	4.0	3.0	4.0	2.0	2.0
s020	5.0	6.0	2.0	4.0	5.0	2.0	4.0	5.0	5.0	4.0	1.0	3.0
s026	5.0	5.0	5.0	5.0	5.0	5.0	3.0	4.0	3.0	3.0	3.0	3.0
s027	5.0	5.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0
s028	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0
s029	5.0	6.0	5.0	6.0	5.0	4.0	4.0	5.0	5.0	4.0	2.0	2.0
s032	4.0	4.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s034	5.0	5.0	4.0	3.0	5.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s042	4.0	4.0	5.0	4.0	4.0	4.0	2.0	3.0	3.0	2.0	3.0	4.0
s047	3.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	1.0	1.0
s049	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0	2.0	2.0
s056	2.0	2.0	5.0	4.0	2.0	5.0	1.0	4.0	1.0	1.0	1.0	1.0
s060	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0
s062	4.0	4.0	2.0	2.0	5.0	3.0	3.0	4.0	2.0	3.0	2.0	3.0
s063	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0
s065	5.0	5.0	4.0	3.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0
s066	6.0	6.0	5.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	1.0	3.0
s071	4.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
s077	4.0	4.0	3.0	3.0	4.0	3.0	1.0	1.0	1.0	4.0	3.0	3.0
s081	5.0	5.0	5.0	6.0	5.0	5.0	2.0	6.0	3.0	4.0	6.0	3.0
s082	5.0	5.0	5.0	5.0	5.0	5.0	1.0	2.0	3.0	2.0	3.0	2.0
s083	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	1.0	1.0	1.0	1.0
s084	4.0	4.0	4.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0
s085	6.0	6.0	5.0	4.0	6.0	5.0	2.0	2.0	2.0	2.0	1.0	1.0
s086	3.0	5.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0
s089	2.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	2.0	2.0	2.0	2.0
s091	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s092	6.0	6.0	6.0	6.0	6.0	6.0	5.0	5.0	4.0	4.0	4.0	4.0
s093	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s094	6.0	6.0	5.0	5.0	4.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s096	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s097	6.0	6.0	6.0	6.0	6.0	6.0	1.0	6.0	2.0	2.0	2.0	2.0
s098	5.0	5.0	5.0	4.0	5.0	5.0	1.0	1.0	2.0	1.0	2.0	1.0
s099	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	1.0	2.0	1.0	1.0
s102	5.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0
s103	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	3.0
s105	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s106	3.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s107	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s108	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0
s109	4.0	5.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	3.0	2.0	2.0
s110	6.0	6.0	6.0	5.0	1.0	6.0	3.0	5.0	1.0	2.0	3.0	4.0
s111	6.0	6.0	5.0	4.0	5.0	4.0	3.0	3.0	2.0	3.0	3.0	2.0
s112	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0
s114	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0
s123	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0
s128	4.0	3.0	5.0	4.0	4.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0
s129	5.0	4.0	1.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	5.0	2.0
s131	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s135	6.0	5.0	5.0	4.0	5.0	3.0	2.0	5.0	3.0	4.0	2.0	1.0
s140	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	3.0
s142	6.0	5.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	5.0	5.0	5.0
s145	5.0	5.0	5.0	5.0	6.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0
s149	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0
s155	4.0	4.0	5.0	4.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
s156	4.0	4.0	4.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0
s161	6.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0
s163	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s165	5.0	5.0	5.0	6.0	6.0	6.0	2.0	3.0	2.0	3.0	1.0	1.0
s168	4.0	4.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	1.0	3.0	3.0
s170	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	6.0	1.0	3.0	3.0
s173	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0
s179	4.0	6.0	3.0	2.0	3.0	3.0	2.0	5.0	3.0	4.0	3.0	5.0
s180	4.0	5.0	5.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0
s182	5.0	5.0	5.0	4.0	5.0	4.0	3.0	5.0	3.0	2.0	2.0	2.0
s184	5.0	5.0	4.0	4.0	5.0	3.0	3.0	6.0	2.0	5.0	2.0	2.0
s186	6.0	6.0	4.0	3.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
s187	5.0	4.0	3.0	2.0	4.0	2.0	4.0	5.0	3.0	5.0	4.0	2.0
s188	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s190	5.0	4.0	5.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s192	5.0	5.0	4.0	4.0	5.0	4.0	1.0	2.0	2.0	2.0	3.0	1.0
s196	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0
s198	4.0	4.0	3.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s202	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s205	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s206	4.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
s207	6.0	6.0	5.0	5.0	6.0	5.0	1.0	3.0	1.0	1.0	1.0	1.0
s208	5.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0
s209	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	2.0
s210	6.0	6.0	5.0	5.0	6.0	5.0	3.0	4.0	3.0	3.0	3.0	4.0
s212	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	2.0	2.0	2.0	2.0
s216	6.0	6.0	6.0	6.0	6.0	6.0	2.0	4.0	3.0	3.0	3.0	4.0
s218	5.0	5.0	4.0	4.0	5.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
s226	2.0	3.0	2.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0
s228	6.0	6.0	6.0	5.0	6.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0
s233	6.0	5.0	5.0	5.0	5.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0
s237	4.0	4.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s238	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
s244	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s246	5.0	6.0	6.0	5.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s249	5.0	4.0	2.0	2.0	3.0	2.0	5.0	4.0	2.0	5.0	3.0	1.0
s252	4.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
s254	5.0	5.0	5.0	5.0	5.0	5.0	6.0	2.0	1.0	2.0	1.0	1.0
s259	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s262	4.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0
s264	5.0	5.0	4.0	4.0	4.0	4.0	2.0	3.0	2.0	2.0	2.0	2.0
s265	5.0	5.0	4.0	3.0	4.0	4.0	5.0	5.0	2.0	6.0	4.0	1.0
s269	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	6.0	2.0	2.0
s273	3.0	3.0	3.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0	1.0	2.0
s275	6.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0
s277	4.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	2.0	2.0
s284	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0
s285	4.0	4.0	5.0	5.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0
s286	4.0	3.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0
s290	2.0	4.0	4.0	2.0	4.0	3.0	4.0	5.0	3.0	3.0	3.0	3.0
s291	4.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	1.0	1.0	2.0	1.0
s293	4.0	3.0	4.0	3.0	3.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s294	5.0	6.0	5.0	5.0	6.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s295	4.0	3.0	4.0	3.0	2.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0
s297	6.0	6.0	4.0	6.0	5.0	4.0	2.0	6.0	2.0	4.0	2.0	2.0
s301	4.0	4.0	4.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0
s303	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0
s305	4.0	4.0	4.0	3.0	3.0	4.0	1.0	2.0	2.0	2.0	2.0	1.0
s307	5.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s309	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s313	1.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	6.0	1.0	5.0	1.0
s314	5.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	2.0	3.0
s316	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s326	5.0	5.0	2.0	3.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s327	4.0	4.0	5.0	4.0	5.0	3.0	3.0	4.0	1.0	4.0	1.0	1.0
s328	4.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	5.0
s329	4.0	4.0	3.0	3.0	4.0	3.0	1.0	1.0	3.0	1.0	3.0	1.0
s332	5.0	5.0	4.0	4.0	5.0	4.0	3.0	3.0	2.0	3.0	2.0	2.0
s333	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s334	2.0	2.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0
s336	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s339	4.0	4.0	3.0	3.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	2.0
s343	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0
s346	5.0	5.0	4.0	4.0	5.0	4.0	2.0	4.0	2.0	2.0	2.0	2.0
s351	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	2.0
s352	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s357	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
s359	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0
s365	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0
s368	6.0	6.0	5.0	5.0	6.0	5.0	4.0	5.0	3.0	5.0	3.0	3.0
s369	4.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0
s372	6.0	6.0	4.0	4.0	6.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
s373	6.0	6.0	6.0	4.0	6.0	1.0	6.0	6.0	5.0	4.0	3.0	5.0
s376	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s380	6.0	6.0	6.0	5.0	5.0	5.0	2.0	2.0	1.0	2.0	1.0	1.0
s383	5.0	4.0	5.0	5.0	5.0	6.0	1.0	4.0	1.0	2.0	1.0	1.0
s388	5.0	4.0	5.0	4.0	5.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0
s391	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	3.0	2.0	2.0	2.0
s396	3.0	3.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	2.0	3.0	2.0
s397	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0
s402	6.0	5.0	5.0	4.0	5.0	6.0	3.0	4.0	3.0	3.0	3.0	4.0
s403	6.0	6.0	5.0	5.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	6.0
s408	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	6.0
s409	5.0	5.0	5.0	5.0	4.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s411	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0
s420	5.0	5.0	5.0	5.0	4.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s425	5.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0
s427	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s429	5.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0
s430	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	3.0
s434	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s441	6.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0
s446	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0
s449	4.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0
s450	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0
s451	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0
s453	4.0	4.0	5.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0
s456	5.0	5.0	6.0	6.0	5.0	2.0	5.0	5.0	1.0	3.0	2.0	2.0
s459	6.0	6.0	6.0	6.0	5.0	6.0	3.0	3.0	3.0	4.0	3.0	5.0
s461	5.0	5.0	4.0	3.0	5.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0
s462	6.0	6.0	5.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	3.0	3.0
s467	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
s468	4.0	4.0	2.0	2.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0
s469	4.0	4.0	4.0	3.0	3.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0
s471	5.0	5.0	6.0	5.0	5.0	5.0	3.0	4.0	3.0	5.0	5.0	5.0
s473	5.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	2.0	2.0	2.0
s475	5.0	5.0	4.0	4.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0
s477	6.0	6.0	6.0	6.0	6.0	6.0	2.0	5.0	4.0	5.0	4.0	4.0
s481	5.0	5.0	5.0	4.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	3.0
s483	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	2.0	1.0	3.0	2.0
s484	5.0	5.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0
s488	4.0	4.0	3.0	3.0	5.0	5.0	2.0	3.0	3.0	3.0	3.0	3.0
s489	5.0	5.0	5.0	5.0	3.0	4.0	2.0	3.0	2.0	3.0	2.0	2.0
s490	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s491	4.0	4.0	1.0	1.0	1.0	1.0	5.0	4.0	2.0	4.0	2.0	3.0
s492	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0
s500	5.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	2.0	3.0	2.0	4.0
s501	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s502	5.0	5.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0
s503	5.0	4.0	5.0	4.0	6.0	5.0	1.0	2.0	2.0	2.0	1.0	3.0
s504	2.0	2.0	2.0	2.0	2.0	2.0	4.0	5.0	3.0	3.0	3.0	3.0
s505	5.0	6.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s506	6.0	6.0	6.0	6.0	5.0	5.0	2.0	6.0	3.0	4.0	3.0	3.0
s507	6.0	5.0	6.0	5.0	6.0	6.0	2.0	4.0	3.0	3.0	4.0	3.0
s508	5.0	5.0	3.0	3.0	5.0	3.0	5.0	4.0	2.0	3.0	2.0	2.0
s509	6.0	6.0	5.0	6.0	5.0	5.0	2.0	2.0	1.0	1.0	1.0	1.0
s510	4.0	3.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s511	5.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0
